DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2002,15.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2003,15.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2004,15.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2005,15.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2006,15.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2007,15.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2008,14.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2009,15.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2010,14.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2011,15.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2012,15.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2013,15.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2014,15.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2015,15.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2016,16.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2017,16.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2018,16.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",France,2019,16.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2001,14.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2002,14.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2003,13.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2004,13.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2005,13.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2006,14.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2007,14.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2008,13.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2009,13.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2010,13.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2011,14.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2012,15.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2013,14.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2014,15.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2015,15.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2016,14.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2017,14.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2018,14.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Italy,2019,14.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2001,11.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2002,11.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2003,11.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2004,11.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2005,11.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2006,12.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2007,11.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,"Taxes on production and imports, revenue",Netherlands,2008,11.6,,
