DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2010,1032906.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2011,1143913.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2012,1194889.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2013,1194757.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2014,1244335.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2015,1314624.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2016,1330343.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2017,1406671.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2018,1459356.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2019,1497693.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2002,32389.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2003,32858.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2004,38932.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2005,40887.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2006,44520.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2007,49864.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2008,54395.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2009,43888.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2010,48583.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2011,51494.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2012,53847.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2013,54017.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2014,57249.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Greece,2015,56442.9,,
